Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000002504,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~1-1 BNP 2017 JAN ,,,,,
000000003698,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-3~3-1 BNP 2017 MAR,,,,,
000000003699,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-4~4-1 BNP 2017 APR,,,,,
000000003700,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-5~5-1 BNP 2017 MAY,,,,,
000000003701,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-6~6-1 BNP 2017 JUN ,,,,,
000000003702,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-7~7-1 BNP 2017 JUL ,,,,,
000000003703,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-8~8-1 BNP 2017 AUG ,,,,,
000000003704,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-9~9-1 BNP 2017 SEP ,,,,,
000000003705,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-10~10-1 BNP 2017 OCT ,,,,,
000000003706,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-11~11-1 BNP 2017 NOV ,,,,,
000000003707,,C002003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-12~12-1 BNP 2017 DEC ,,,,,
000000003708,,C002004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-3~3-1 BNP 2017 MAR ,,,,,
000000003709,,C002004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-3~3-2 BNP 2017 MAR ,,,,,
