Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status,Create date,Updated at
000000001876,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-1/24 ZARA SH ___,,,,
000000001877,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-2/24 ZARA SH ___,,,,
000000001878,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-3/24 ZARA SH ___,,,,
000000001879,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-4/24 ZARA SH ___,,,,
000000001880,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-5/24 ZARA SH ___,,,,
000000001881,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-6/24 ZARA SH ___,,,,
000000001882,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-7/24 ZARA SH ___,,,,
000000001883,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-8/24 ZARA SH ___,,,,
000000001884,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-9/24 ZARA SH ___,,,,
000000001885,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-10/24 ZARA SH ___,,,,
000000001886,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-11/24 ZARA SH ___,,,,
000000001887,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-12/24 ZARA SH ___,,,,
000000001888,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-13/24 ZARA SH ___,,,,
000000001889,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-14/24 ZARA SH ___,,,,
000000001890,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-15/24 ZARA SH ___,,,,
000000001891,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-16/24 ZARA SH ___,,,,
000000001892,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-17/24 ZARA SH ___,,,,
000000001893,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-18/24 ZARA SH ___,,,,
000000001894,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-19/24 ZARA SH ___,,,,
000000001895,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-20/24 ZARA SH ___,,,,
000000001896,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-21/24 ZARA SH ___,,,,
000000001897,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-22/24 ZARA SH ___,,,,
000000001898,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-23/24 ZARA SH ___,,,,
000000001899,,T001001,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2017-1~12-24/24 ZARA SH ___,,,,
000000002555,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-1/23 ZARA BJ ___,,,,
000000002556,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-2/23 ZARA BJ ___,,,,
000000002557,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-3/23 ZARA BJ ___,,,,
000000002558,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-4/23 ZARA BJ ___,,,,
000000002559,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-5/23 ZARA BJ ___,,,,
000000002560,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-6/23 ZARA BJ ___,,,,
000000002561,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-7/23 ZARA BJ ___,,,,
000000002562,,T001002,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2017-1~12-8/23 ZARA BJ ___,,,,
