Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000004811,S005006,,NONE,Accounting-AP,APG,SH,APG Rental Billing 2018-9~9-1/1 ,,,,,
000000004812,S005006,,NONE,Accounting-AP,APG,SH,APG Rental Billing 2018-10~10-1/1 ,,,,,
000000004813,S005004,,NONE,Accounting-AP,APG,SH,APG Rental Billing 2018-11~11-1/1 ,,,,,
000000004814,S005004,,NONE,Accounting-AP,APG,SH,APG Rental Billing 2018-12~12-1/1 ,,,,,
000000004815,R005005,,90453-ZARA FASHION ,Accounting-AP,APG,SH,APG AP accounting voucher 2015-1~12-1/1 ,,,,,
000000004816,R005005,,90453-ZARA FASHION ,Accounting-AP,APG,SH,APG AP accounting voucher 2017-1~12-1/4 ,,,,,
000000004817,R005005,,90453-ZARA FASHION ,Accounting-AP,APG,SH,APG AP accounting voucher 2017-1~12-2/4 ,,,,,
000000004818,R005005,,90453-ZARA FASHION ,Accounting-AP,APG,SH,APG AP accounting voucher 2017-1~12-3/4 ,,,,,
000000004819,R005005,,90453-ZARA FASHION ,Accounting-AP,APG,SH,APG AP accounting voucher 2017-1~12-4/4 ,,,,,
