Code,File Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000003874,SHA0000211037,SH1813006,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-11~11-1/4 ,,,IN,,2018/7/26 9:47
000000003875,SHA0000211038,SH1813006,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-11~11-2/4 ,,,IN,,2018/7/26 9:47
000000003876,SHA0000211039,SH1813006,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-11~11-3/4 ,,,IN,,2018/7/26 9:47
000000003877,SHA0000211040,SH1813006,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-11~11-4/4 ,,,IN,,2018/7/26 9:47
000000000037,SHA0000211041,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-12~12-1/4 ,,,IN,,2018/6/26 16:59
000000000038,SHA0000211042,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-12~12-2/4 ,,,IN,,2018/6/26 16:59
000000000039,SHA0000211043,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-12~12-3/4 ,,,IN,,2018/6/26 16:59
000000000040,SHA0000211044,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-12~12-4/4 ,,,IN,,2018/6/26 16:59
000000000041,SHA0000211045,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2016-01~12-1/1 ,,,IN,,2018/6/26 16:59
000000000042,SHA0000211046,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-01~03-1/1 ,,,IN,,2018/6/26 16:59
000000000043,SHA0000211047,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-04~06-1/1 ,,,IN,,2018/6/26 16:59
000000000044,SHA0000211048,SH1813007,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-07~09-1/1 ,,,IN,,2018/6/26 16:59
