Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status
4287,48,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-01~01-3/3 ,,IN
4288,49,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-1/3 ,,IN
4289,50,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-2/3 ,,IN
4290,51,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-3/3 ,,IN
4291,52,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-03~03-1/2 ,,IN
4292,53,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-03~03-2/2 ,,IN
4293,54,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-04~04-1/3 ,,IN
4294,55,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-04~04-2/3 ,,IN
4295,56,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-04~04-3/3 ,,IN
4296,57,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-05~05-1/3 ,,IN
4297,58,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-05~05-2/3 ,,IN
4298,59,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-05~05-3/3 ,,IN
4299,60,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-06~06-1/3 ,,IN
4300,61,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-06~06-2/3 ,,IN
4301,62,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-06~06-3/3 ,,IN
4302,63,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-07~07-1/2 ,,IN
4303,64,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-07~07-2/2 ,,IN
4304,65,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-08~08-1/2 ,,IN
4305,66,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-08~08-2/2 ,,IN
4306,67,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-09~09-1/3 ,,IN
4307,68,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-09~09-2/3 ,,IN
4308,69,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-09~09-3/3 ,,IN
4309,70,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-10~10-1/3 ,,IN
4310,71,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-10~10-2/3 ,,IN
4311,72,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-10~10-3/3 ,,IN
4312,73,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-01~01-1/2 ,,IN
4313,74,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-01~01-2/2 ,,IN
4314,75,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-02~02-1/1 ,,IN
4315,76,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-03~03-1/1 ,,IN
4316,77,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-04~04-1/1 ,,IN
4317,78,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-05~05-1/1 ,,IN
4318,79,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC AP 2017-06~06-1/1 ,,IN
4319,80,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-01~01-1/1 ,,IN
4320,81,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-02~02-1/1 ,,IN
4321,82,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-03~03-1/1 ,,IN
4322,83,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-04~04-1/1 ,,IN
4323,84,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-05~05-1/1 ,,IN
4324,85,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-06~06-1/1 ,,IN
4325,86,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-07~07-1/1 ,,IN
