Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000004142,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~1-1 BNP 2018 JAN ,,,,,
000000004143,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~1-2 BNP 2018 JAN ,,,,,
000000004144,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-2~2-1 BNP 2018 FEB,,,,,
000000004145,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-3~3-1 BNP 2018 MAR,,,,,
000000004146,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-4~4-1 BNP 2018 APR,,,,,
000000004147,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-5~5-1 BNP 2018 MAY,,,,,
000000004148,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-6~6-1 BNP 2018 JUN,,,,,
000000004149,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-7~7-1 BNP 2018 JUL,,,,,
000000004150,,C002001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-8~8-1 BNP 2018 AUG,,,,,
000000004151,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~1-1 BNP 2018 JAN,,,,,
000000004152,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~1-2 BNP 2018 JAN,,,,,
000000004153,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~1-3 BNP 2018 JAN,,,,,
000000004154,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-2~2-1 BNP 2018 FEB,,,,,
000000004155,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-2~2-2 BNP 2018 FEB,,,,,
000000004156,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-3~3-1 BNP 2018 MAR,,,,,
000000004157,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-3~3-2 BNP 2018 MAR,,,,,
000000004158,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-4~4-1 BNP 2018 APR,,,,,
000000004159,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-4~4-2 BNP 2018 APR,,,,,
000000004160,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-5~5-1 BNP 2018 MAY,,,,,
000000004161,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-5~5-2 BNP 2018 MAY,,,,,
000000004162,,C003004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-6~6-1 BNP 2018 JUN,,,,,
000000004163,,C003005,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-7~7-1 BNP 2018 JUL,,,,,
000000004164,,C003005,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-8~8-1 BNP 2018 AUG,,,,,
000000004165,,C003005,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-8~8-2 BNP 2018 AUG,,,,,
000000004166,,C001001,90410-TMP,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~2-1 BNP 2018 JAN,,,,,
000000004167,,C001001,90410-TMP,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-3~4-1 BNP 2018 JAN,,,,,
000000004168,,C001001,90410-TMP,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-5~8-1 BNP 2018 JAN,,,,,
000000004169,,C001002,90474-CDC,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004170,,C001002,90304-MD SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004171,,C001002,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004172,,C001002,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-2 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
