Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000006115,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-1~1-1/1 ,,,IN,,
000000006116,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-2~2-1/1 ,,,IN,,
000000006117,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-3~3-1/1 ,,,IN,,
000000006118,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-4~4-1/1 ,,,IN,,
000000006119,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-5~5-1/1 ,,,IN,,
000000006120,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-6~6-1/1 ,,,IN,,
000000006121,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-7~7-1/1 ,,,IN,,
000000006122,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-8~8-1/1 ,,,IN,,
000000006123,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-9~9-1/1 ,,,IN,,
000000006124,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-10~10-1/1 ,,,IN,,
000000006125,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-11~11-1/1 ,,,IN,,
000000006126,SH1900726,J003001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2016-12~12-1/1 ,,,IN,,
000000006127,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-1~1-1/1 ,,,IN,,
000000006128,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-2~2-1/1 ,,,IN,,
000000006129,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-3~3-1/1 ,,,IN,,
000000006130,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-4~4-1/1 ,,,IN,,
000000006131,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-5~5-1/1 ,,,IN,,
000000006132,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-6~6-1/1 ,,,IN,,
000000006133,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-7~7-1/1 ,,,IN,,
000000006134,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-8~8-1/1 ,,,IN,,
000000006135,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-9~9-1/1 ,,,IN,,
000000006136,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-10~10-1/1 ,,,IN,,
000000006137,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-11~11-1/1 ,,,IN,,
000000006138,SH1900726,J003001,90344-OYSHO SH,Accounting-GL,API,SH,API Stock purchase 2016-12~12-1/1 ,,,IN,,
000000006139,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-1~1-1/1 ,,,IN,,
000000006140,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-2~2-1/1 ,,,IN,,
000000006141,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-3~3-1/1 ,,,IN,,
000000006142,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-4~4-1/1 ,,,IN,,
000000006143,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-5~5-1/1 ,,,IN,,
000000006144,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-6~6-1/1 ,,,IN,,
000000006145,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-7~7-1/1 ,,,IN,,
000000006146,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-8~8-1/1 ,,,IN,,
000000006147,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-9~9-1/1 ,,,IN,,
000000006148,SH1900726,J003001,90269-PB BJ,Accounting-GL,API,BJ,API Stock purchase 2016-10~10-1/1 ,,,IN,,
