Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000006322,,H004004,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 81-奥依修商贸（上海）有限公司 关单-1st,,,IN,,
000000006323,,H004004,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 81-奥依修商贸（上海）有限公司 关单-2nd,,,IN,,
000000006324,,H004004,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 81-奥依修商贸（上海）有限公司 关单-3rd,,,IN,,
000000006325,,H004004,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 81-奥依修商贸（上海）有限公司 关单-4th,,,IN,,
000000006326,,H004004,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 81-奥依修商贸（上海）有限公司 关单-5th,,,IN,,
000000006327,,H004004,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 81-奥依修商贸（上海）有限公司 关单-6th,,,IN,,
000000006328,,H004004,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 81-奥依修商贸（上海）有限公司 关单-7th,,,IN,,
000000006329,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-1st,,,IN,,
000000006330,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-2nd,,,IN,,
000000006331,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-3rd,,,IN,,
000000006332,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-4th,,,IN,,
000000006333,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-5th,,,IN,,
000000006334,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-6th,,,IN,,
000000006335,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-7th,,,IN,,
000000006336,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-8th,,,IN,,
000000006337,,H004005,90269-PB BJ,Accounting-GL,FA,BJ,FA Fixed assets fapiaos 51-普安倍尔商业（北京）有限公司 关单-9th,,,IN,,
000000006338,,H003001,90389-ECOM,Accounting-GL,FA,SH,FA Fixed assets fapiaos 111-爱特思电子商务（上海）有限公司 关单-1st,,,IN,,
000000006339,,H003002,90346-ZARA HOME,Accounting-GL,FA,SH,FA Fixed assets fapiaos 101-飒拉家居商贸（上海）有限公司 关单-1st,,,IN,,
000000006340,,H003002,90346-ZARA HOME,Accounting-GL,FA,SH,FA Fixed assets fapiaos 101-飒拉家居商贸（上海）有限公司 关单-2nd,,,IN,,
