000000000554,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-07-2/11,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000553,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-07-1/11,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000552,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-10/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000551,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-9/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000550,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-8/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000549,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-7/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000548,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-6/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000547,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-5/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000546,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-4/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000545,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-3/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000544,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-2/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000543,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-06-1/10,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000542,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-15/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000541,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-14/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000540,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-13/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000539,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-12/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000538,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-11/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000537,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-10/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000536,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-9/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000535,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-8/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000534,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-7/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000533,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-6/15,,,IN,,2018-05-01 06:23:50 UTC,,,,,,,
000000000532,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-5/15,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000531,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-4/15,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000530,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-3/15,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000529,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-2/15,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000528,,B003003,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-05-1/15,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000527,,B003002,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-04-16/16,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000526,,B003002,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-04-15/16,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000525,,B003002,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-04-14/16,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000524,,B003002,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-04-13/16,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000523,,B003002,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-04-12/16,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000522,,B003002,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-04-11/16,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
000000000521,,B003002,90474-CDC,Accounting-Trade,RHQ,SH,Export 2017-04-10/16,,,IN,,2018-05-01 06:23:49 UTC,,,,,,,
