Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status,Create date,Updated at
000000003663,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-1/10 ,,,,
000000003664,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-2/10 ,,,,
000000003665,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-3/10 ,,,,
000000003666,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-4/10 ,,,,
000000003667,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-5/10 ,,,,
000000003668,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-6/10 ,,,,
000000003669,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-7/10 ,,,,
000000003670,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-8/10 ,,,,
000000003671,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-9/10 ,,,,
000000003672,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-10~10-10/10 ,,,,
000000003673,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-1/14 ,,,,
000000003674,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-2/14 ,,,,
000000003675,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-3/14 ,,,,
000000003676,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-4/14 ,,,,
000000003677,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-5/14 ,,,,
000000003678,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-6/14 ,,,,
000000003679,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-7/14 ,,,,
000000003680,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-8/14 ,,,,
000000003681,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-9/14 ,,,,
000000003682,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-10/14 ,,,,
000000003683,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-11/14 ,,,,
000000003684,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-12/14 ,,,,
000000003685,,B002001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-13/14 ,,,,
000000003686,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-11~11-14/14 ,,,,
000000003687,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-1/11 ,,,,
000000003688,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-2/11 ,,,,
000000003689,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-3/11 ,,,,
000000003690,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-4/11 ,,,,
000000003691,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-5/11 ,,,,
000000003692,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-6/11 ,,,,
000000003693,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-7/11 ,,,,
000000003694,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-8/11 ,,,,
000000003695,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-9/11 ,,,,
000000003696,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-10/11 ,,,,
000000003697,,B002002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-12~12-11/11 ,,,,
,,,,,,,,,,,
