Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000003903,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-1/13 南I-(Before2017)南宁/厦门/中山/惠州,,,,,
000000003904,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-2/13 南II-(Before2017)福州/深圳/泉州/漳州/莆田/宁德/东莞/佛山,,,,,
000000003905,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-3/13 南III-(Before2017)广州,,,,,
000000003906,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-4/13 中I-(Before2017)南京/金华/淮安/泰州/无锡/合肥/武汉/宜昌,,,,,
000000003907,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-5/13 中II-(Before2017)苏州/宁波/温州/赣州/镇江/常州/南通/杭州,,,,,
000000003908,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-6/13 中III-(Before2017)上海,,,,,
000000003909,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-7/13 西I-(Before2017)成都01（红星16-17）,,,,,
000000003910,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-8/13 西II-(Before2017)成都02（红星15/温江/ICBC）,,,,,
000000003911,,C001006,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2017-1~12-9/13 西III-(Before2017)昆明/重庆/西安/绵阳,,,,,
000000003912,,C001006,90204-ZARA BJ,Treasury,BAN,BJ,BAN Bank files (statement/debit note/etc.) 2017-1~12-10/13 北I-(Before2017)北京,,,,,
000000003913,,C001006,90204-ZARA BJ,Treasury,BAN,BJ,BAN Bank files (statement/debit note/etc.) 2017-1~12-11/13 北II-(Before2017)大庆/青岛/济南/吉林/长春/太原,,,,,
