Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000003878,,S003001,90389-E-COM,Accounting-AP,APG,SH ,APG AP 2018-1~1-1/3 ,,,,,
000000003879,,S003001,90389-E-COM,Accounting-AP,APG,SH ,APG AP 2018-1~1-2/3 ,,,,,
000000003880,,S003001,90389-E-COM,Accounting-AP,APG,SH ,APG AP 2018-1~1-3/3 ,,,,,
000000003881,,S002001,90453-ZARA FASHION ,Accounting-AP,APG,SH ,APG AP 2018-1~1-1/1 ,,,,,
000000003882,,S001005,90417-BSK SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-1/1 ,,,,,
000000003883,,R002003,90268-BSK BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-1/4 ,,,,,
000000003884,,R002003,90268-BSK BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-2/4 ,,,,,
000000003885,,R002003,90268-BSK BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-3/4 ,,,,,
000000003886,,R002003,90268-BSK BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-4/4 ,,,,,
000000003887,,S001001,90344-OYSHO SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-1/4 ,,,,,
000000003888,,S001001,90344-OYSHO SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-2/4 ,,,,,
000000003889,,S001001,90344-OYSHO SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-3/4 ,,,,,
000000003890,,S001001,90344-OYSHO SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-4/4 ,,,,,
000000003891,,S003005,90312-STR SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-1/4 ,,,,,
000000003892,,S003005,90312-STR SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-2/4 ,,,,,
000000003893,,S003005,90312-STR SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-3/4 ,,,,,
000000003894,,S003005,90312-STR SH,Accounting-AP,APG,SH ,APG AP 2018-1~1-4/4 ,,,,,
000000003895,,R003003,90204-ZARA BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-1/4 ,,,,,
000000003896,,R003003,90204-ZARA BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-2/4 ,,,,,
000000003897,,R003003,90204-ZARA BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-3/4 ,,,,,
000000003898,,R003003,90204-ZARA BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-4/4 ,,,,,
000000003899,,S002002,90258-MD BJ,Accounting-AP,APG,BJ,APG AP 2018-1~1-1/1 ,,,,,
000000003900,,S002004,90346-ZARA HOME,Accounting-AP,APG,SH ,APG AP 2018-1~1-1/3 ,,,,,
000000003901,,S002004,90346-ZARA HOME,Accounting-AP,APG,SH ,APG AP 2018-1~1-2/3 ,,,,,
000000003902,,S002004,90346-ZARA HOME,Accounting-AP,APG,SH ,APG AP 2018-1~1-3/3 ,,,,,
,,,,,,,,,,,,
